Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2021-01-01,US,,20330328,0,353948
2021-01-02,US,,20626207,0,356547
2021-01-03,US,,20829857,0,357984
2021-01-04,US,,21011506,0,359964
2021-01-05,US,,21242761,0,363568
2021-01-06,US,,21499621,0,367492
2021-01-07,US,,21788233,0,371520
2021-01-08,US,,22091695,0,375709
2021-01-09,US,,22351229,0,378965
2021-01-10,US,,22564605,0,381069
2021-01-11,US,,22775442,0,382905
2021-01-12,US,,22994343,0,387294
2021-01-13,US,,23224184,0,391312
2021-01-14,US,,23462228,0,395104
2021-01-15,US,,23709253,0,398916
2021-01-16,US,,23917886,0,402493
2021-01-17,US,,24094475,0,404484
2021-01-18,US,,24235558,0,406049
2021-01-19,US,,24399844,0,408450
2021-01-20,US,,24585238,0,412892
2021-01-21,US,,24777565,0,417029
2021-01-22,US,,24967093,0,420806
2021-01-23,US,,25141956,0,424362
2021-01-24,US,,25279790,0,426220
2021-01-25,US,,25421908,0,427989
2021-01-26,US,,25566690,0,431971
2021-01-27,US,,25721825,0,436099
2021-01-28,US,,25889261,0,439949
2021-01-29,US,,26055108,0,443548
2021-01-30,US,,26200792,0,446449
2021-01-31,US,,26316221,0,448406
2021-02-01,US,,26445589,0,450183
2021-02-02,US,,26559461,0,453716
2021-02-03,US,,26682573,0,457633
2021-02-04,US,,26806501,0,461517
2021-02-05,US,,26938161,0,465191
2021-02-06,US,,27049114,0,467928
2021-02-07,US,,27140997,0,469405
2021-02-08,US,,27226006,0,470856
2021-02-09,US,,27320601,0,473921
2021-02-10,US,,27416433,0,477328
2021-02-11,US,,27522736,0,480519
2021-02-12,US,,27622766,0,483403
2021-02-13,US,,27711620,0,485699
2021-02-14,US,,27777969,0,486897
2021-02-15,US,,27832612,0,487846
2021-02-16,US,,27891215,0,489490
2021-02-17,US,,27961284,0,491936
2021-02-18,US,,28032640,0,494543
2021-02-19,US,,28110825,0,497078
2021-02-20,US,,28184232,0,499011
2021-02-21,US,,28242128,0,500238
2021-02-22,US,,28296967,0,501439
2021-02-23,US,,28368981,0,503715
2021-02-24,US,,28443992,0,506979
2021-02-25,US,,28522050,0,509409
2021-02-26,US,,28600784,0,511564
2021-02-27,US,,28666849,0,513085
2021-02-28,US,,28718716,0,514192
2021-03-01,US,,28773204,0,515511
2021-03-02,US,,28830270,0,517444
2021-03-03,US,,28897419,0,520025
2021-03-04,US,,28965951,0,521977
2021-03-05,US,,29032816,0,523700
2021-03-06,US,,29092111,0,525231
2021-03-07,US,,29134177,0,525942
2021-03-08,US,,29178490,0,526647
2021-03-09,US,,29234296,0,528431
2021-03-10,US,,29292529,0,530003
2021-03-11,US,,29355425,0,531577
2021-03-12,US,,29417498,0,533008
2021-03-13,US,,29471090,0,534005
2021-03-14,US,,29509942,0,534537
2021-03-15,US,,29564710,0,535237
2021-03-16,US,,29619091,0,536498
2021-03-17,US,,29678578,0,537715
2021-03-18,US,,29739103,0,539363
2021-03-19,US,,29801168,0,540409
2021-03-20,US,,29858190,0,541182
2021-03-21,US,,29893168,0,541972
2021-03-22,US,,29942649,0,542505
2021-03-23,US,,29995948,0,543450
2021-03-24,US,,30083069,0,544985
2021-03-25,US,,30151045,0,546343
2021-03-26,US,,30228590,0,547511
2021-03-27,US,,30290813,0,548325
2021-03-28,US,,30337167,0,548775
2021-03-29,US,,30404464,0,549429
2021-03-30,US,,30465901,0,550354
2021-03-31,US,,30532873,0,551455
2021-04-01,US,,30612061,0,552578
2021-04-02,US,,30683910,0,553479
2021-04-03,US,,30748157,0,554250
2021-04-04,US,,30784511,0,554539
2021-04-05,US,,30857959,0,555010
2021-04-06,US,,30919103,0,555874
2021-04-07,US,,30994091,0,558468
2021-04-08,US,,31074343,0,559511
2021-04-09,US,,31158680,0,560421
2021-04-10,US,,31227974,0,561145
2021-04-11,US,,31274417,0,561430
2021-04-12,US,,31341375,0,561882
2021-04-13,US,,31420519,0,562759
2021-04-14,US,,31495835,0,563695
2021-04-15,US,,31569745,0,564600
2021-04-16,US,,31650122,0,565461
2021-04-17,US,,31704283,0,566169
2021-04-18,US,,31747166,0,566498
2021-04-19,US,,31813340,0,567002
2021-04-20,US,,31874260,0,567849
2021-04-21,US,,31938084,0,568738
2021-04-22,US,,32005074,0,569683
2021-04-23,US,,32067454,0,570445
2021-04-24,US,,32121647,0,571209
2021-04-25,US,,32155621,0,571503
2021-04-26,US,,32201281,0,571976
2021-04-27,US,,32252014,0,572652
2021-04-28,US,,32307107,0,573646
2021-04-29,US,,32366021,0,574539
2021-04-30,US,,32424181,0,575347
2021-05-01,US,,32470841,0,576092
2021-05-02,US,,32500903,0,576413
2021-05-03,US,,32549674,0,576886
2021-05-04,US,,32590474,0,577798
2021-05-05,US,,32636178,0,578611
2021-05-06,US,,32683133,0,579438
2021-05-07,US,,32731240,0,580262
2021-05-08,US,,32765759,0,580897
2021-05-09,US,,32787859,0,581136
2021-05-10,US,,32823011,0,581535
2021-05-11,US,,32857072,0,582235
2021-05-12,US,,32893265,0,583033
2021-05-13,US,,32931794,0,583823
2021-05-14,US,,32973657,0,584455
2021-05-15,US,,33003267,0,584984
2021-05-16,US,,33020708,0,585248
2021-05-17,US,,33048479,0,585642
2021-05-18,US,,33076276,0,586422
2021-05-19,US,,33105784,0,587106
2021-05-20,US,,33135628,0,587790
2021-05-21,US,,33164179,0,588425
2021-05-22,US,,33184753,0,588909
2021-05-23,US,,33198225,0,589099
2021-05-24,US,,33222669,0,589537
2021-05-25,US,,33245759,0,590184
2021-05-26,US,,33270292,0,591161
2021-05-27,US,,33297441,0,592516
2021-05-28,US,,33319364,0,593056
2021-05-29,US,,33331982,0,593406
2021-05-30,US,,33338954,0,593535
2021-05-31,US,,33344969,0,593693
2021-06-01,US,,33366765,0,594356
2021-06-02,US,,33383961,0,594920
2021-06-03,US,,33403066,0,595559
2021-06-04,US,,33420200,0,596086
2021-06-05,US,,33434806,0,596667
2021-06-06,US,,33440558,0,596824
2021-06-07,US,,33455461,0,597137
2021-06-08,US,,33468543,0,597468
2021-06-09,US,,33487532,0,597948
2021-06-10,US,,33501896,0,598366
2021-06-11,US,,33526730,0,598905
2021-06-12,US,,33535494,0,599181
2021-06-13,US,,33540758,0,599285
2021-06-14,US,,33552904,0,599465
2021-06-15,US,,33563804,0,599799
2021-06-16,US,,33576381,0,600182
2021-06-17,US,,33587004,0,600499
2021-06-18,US,,33608369,0,601113
2021-06-19,US,,33616877,0,601288
2021-06-20,US,,33621379,0,601358
2021-06-21,US,,33632971,0,601623
2021-06-22,US,,33643836,0,601974
2021-06-23,US,,33656994,0,602373
2021-06-24,US,,33670656,0,602713
2021-06-25,US,,33694992,0,603236
2021-06-26,US,,33703705,0,603393
2021-06-27,US,,33708017,0,603463
2021-06-28,US,,33722553,0,603615
2021-06-29,US,,33729336,0,603952
2021-06-30,US,,33745659,0,604247
2021-07-01,US,,33760037,0,604533
2021-07-02,US,,33789416,0,604968
2021-07-03,US,,33794129,0,605050
2021-07-04,US,,33797953,0,605088
2021-07-05,US,,33806788,0,605210
2021-07-06,US,,33830198,0,605523
2021-07-07,US,,33852832,0,605844
2021-07-08,US,,33871861,0,606092
2021-07-09,US,,33919352,0,606554
2021-07-10,US,,33927772,0,606637
2021-07-11,US,,33938925,0,606746
2021-07-12,US,,33972540,0,606985
2021-07-13,US,,33998932,0,607344
2021-07-14,US,,34032101,0,607676
2021-07-15,US,,34062009,0,608002
2021-07-16,US,,34139489,0,608360
2021-07-17,US,,34151374,0,608427
2021-07-18,US,,34171349,0,608600
2021-07-19,US,,34223470,0,608800
2021-07-20,US,,34264041,0,609092
2021-07-21,US,,34314626,0,609444
2021-07-22,US,,34369292,0,609738
2021-07-23,US,,34488687,0,610298
2021-07-24,US,,34513868,0,610417
2021-07-25,US,,34539502,0,610502
2021-07-26,US,,34626025,0,610767
2021-07-27,US,,34694769,0,611217
2021-07-28,US,,34764209,0,611598
2021-07-29,US,,34843499,0,611925
2021-07-30,US,,35031570,0,612798
2021-07-31,US,,35064230,0,612951
2021-08-01,US,,35107168,0,613164
2021-08-02,US,,35227384,0,613525
2021-08-03,US,,35330584,0,614109
2021-08-04,US,,35427253,0,614642
2021-08-05,US,,35538176,0,615146
2021-08-06,US,,35793471,0,616300
2021-08-07,US,,35842552,0,616548
2021-08-08,US,,35870436,0,616662
2021-08-09,US,,36050171,0,617168
2021-08-10,US,,36171381,0,618033
2021-08-11,US,,36327638,0,618812
2021-08-12,US,,36469834,0,619824
2021-08-13,US,,36699678,0,620880
2021-08-14,US,,36749110,0,621134
2021-08-15,US,,36791184,0,621311
2021-08-16,US,,37010631,0,622364
2021-08-17,US,,37163446,0,623392
2021-08-18,US,,37322070,0,624567
2021-08-19,US,,37479308,0,626348
2021-08-20,US,,37724994,0,627827
2021-08-21,US,,37791526,0,628364
2021-08-22,US,,37827905,0,628534
2021-08-23,US,,38065323,0,629919
2021-08-24,US,,38222448,0,631341
2021-08-25,US,,38391880,0,632831
2021-08-26,US,,38576323,0,635052
2021-08-27,US,,38819898,0,636775
2021-08-28,US,,38881168,0,637395
2021-08-29,US,,38923484,0,637666
2021-08-30,US,,39182772,0,639430
2021-08-31,US,,39354047,0,640873
2021-09-01,US,,39556301,0,642907
2021-09-02,US,,39731381,0,645860
2021-09-03,US,,39966975,0,647828
2021-09-04,US,,40036360,0,648434
2021-09-05,US,,40080323,0,648813
2021-09-06,US,,40158384,0,649403
2021-09-07,US,,40423813,0,651537
2021-09-08,US,,40606844,0,653815
2021-09-09,US,,40766963,0,657099
2021-09-10,US,,40995170,0,659529
2021-09-11,US,,41064377,0,660303
2021-09-12,US,,41104176,0,660618
2021-09-13,US,,41356230,0,662812
2021-09-14,US,,41502413,0,664739
2021-09-15,US,,41672989,0,667505
2021-09-16,US,,41828499,0,670966
2021-09-17,US,,42037370,0,673412
2021-09-18,US,,42097851,0,674328
2021-09-19,US,,42137372,0,674652
2021-09-20,US,,42332259,0,677008
2021-09-21,US,,42453913,0,679363
2021-09-22,US,,42587041,0,682208
2021-09-23,US,,42713514,0,685475
2021-09-24,US,,42890418,0,687959
2021-09-25,US,,42941286,0,688712
2021-09-26,US,,42989358,0,689230
2021-09-27,US,,43158738,0,691602
2021-09-28,US,,43270117,0,694162
2021-09-29,US,,43393534,0,696775
2021-09-30,US,,43503491,0,699572
2021-10-01,US,,43656368,0,701708
2021-10-02,US,,43698857,0,702446
2021-10-03,US,,43739435,0,702923
2021-10-04,US,,43894399,0,704958
2021-10-05,US,,43991776,0,706865
2021-10-06,US,,44102365,0,709495
2021-10-07,US,,44202908,0,711973
2021-10-08,US,,44329383,0,713807
2021-10-09,US,,44359825,0,714176
2021-10-10,US,,44396026,0,714622
2021-10-11,US,,44500485,0,715798
2021-10-12,US,,44606855,0,718150
2021-10-13,US,,44728427,0,721375
2021-10-14,US,,44814805,0,723516
2021-10-15,US,,44924603,0,725342
2021-10-16,US,,44959223,0,725818
2021-10-17,US,,44990339,0,726247
2021-10-18,US,,45095100,0,728063
2021-10-19,US,,45176047,0,730199
2021-10-20,US,,45267502,0,733402
2021-10-21,US,,45346399,0,735389
2021-10-22,US,,45441551,0,737284
2021-10-23,US,,45470428,0,737792
2021-10-24,US,,45487857,0,738006
2021-10-25,US,,45604220,0,739477
2021-10-26,US,,45672931,0,741093
2021-10-27,US,,45773827,0,743169
2021-10-28,US,,45851378,0,745010
2021-10-29,US,,45944956,0,746746
2021-10-30,US,,45976585,0,747096
2021-10-31,US,,46007580,0,747316
2021-11-01,US,,46123205,0,748588
2021-11-02,US,,46194314,0,749870
2021-11-03,US,,46278892,0,751838
2021-11-04,US,,46360717,0,753042
2021-11-05,US,,46456800,0,755165
2021-11-06,US,,46489700,0,755590
2021-11-07,US,,46525017,0,755756
2021-11-08,US,,46637354,0,757023
2021-11-09,US,,46717677,0,758507
2021-11-10,US,,46812696,0,760187
2021-11-11,US,,46868214,0,761002
2021-11-12,US,,47014759,0,763529
2021-11-13,US,,47055763,0,764038
2021-11-14,US,,47086117,0,764213
2021-11-15,US,,47225248,0,765537
2021-11-16,US,,47313095,0,766871
2021-11-17,US,,47424824,0,768547
2021-11-18,US,,47535172,0,769867
2021-11-19,US,,47661037,0,771665
2021-11-20,US,,47702697,0,772054
2021-11-21,US,,47740610,0,772231
2021-11-22,US,,47891371,0,773506
2021-11-23,US,,47984089,0,774860
2021-11-24,US,,48095733,0,776587
2021-11-25,US,,48128487,0,777015
2021-11-26,US,,48179798,0,777333
2021-11-27,US,,48204537,0,777587
2021-11-28,US,,48245644,0,777754
2021-11-29,US,,48443057,0,779749
2021-11-30,US,,48560532,0,781228
2021-12-01,US,,48699138,0,783219
2021-12-02,US,,48837582,0,787065
2021-12-03,US,,48991240,0,788638
2021-12-04,US,,49052520,0,789188
2021-12-05,US,,49100155,0,789381
2021-12-06,US,,49282515,0,790798
2021-12-07,US,,49394625,0,792432
2021-12-08,US,,49544295,0,794173
2021-12-09,US,,49664988,0,795616
2021-12-10,US,,49833964,0,797380
2021-12-11,US,,49885157,0,797814
2021-12-12,US,,49933337,0,797997
2021-12-13,US,,50122435,0,799370
2021-12-14,US,,50236542,0,800777
2021-12-15,US,,50378175,0,802944
2021-12-16,US,,50516465,0,804086
2021-12-17,US,,50705659,0,805823
2021-12-18,US,,50776013,0,806302
2021-12-19,US,,50846828,0,806439
2021-12-20,US,,51100782,0,807952
